# Pathway	SRR12395643	SRR12395644	SRR12395645	SRR12395646	SRR12395647	SRR12395648	SRR12395649	SRR12395650	SRR12395651	SRR12395652	SRR12395653	SRR12395654	SRR12395655	SRR12395656	SRR12395657	SRR12395658	SRR12395659	SRR12395660	SRR12395661	SRR12395662	SRR12395663	SRR12395664	SRR12395665	SRR12395666	SRR12395667	SRR12395668	SRR12395669	SRR12395670	SRR12395671	SRR12395672	SRR12395673	SRR12395674	SRR12395675	SRR12395676	SRR12395677	SRR12395678	SRR12395679	SRR12395680	SRR12395681	SRR12395682	SRR12395683	SRR12395684	SRR12395685	SRR12395686	SRR12395687	SRR12395688	SRR12395689	SRR12395690	SRR12395691	SRR12395692	SRR12395693	SRR12395694	SRR12395695	SRR12395696	SRR12395697	SRR12395698	SRR12395699	SRR12395700	SRR12395701	SRR12395702	SRR12395703
PWY-5913: TCA cycle VI (obligate autotrophs)	0	17.9193	65.0219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5913: partial TCA cycle (obligate autotrophs)	12.0445	0	0	35.9514	19.1345	30.535	63.2163	18.4072	300.596	18.3714	34.3637	15.7818	185.55	160.896	36.7086	37.9004	191.897	91.4156	65.9235	3.88668	59.1601	18.127	13.4384	3.16723	5.73281	1.83266	336.37	138.559	17.3614	3.20562	47.1485	3.2048	24.2975	130.779	21.3294	16.159	63.7537	5.34463	231.424	280.929	18.0149	194.684	112.194	148.88	247.61	521.774	12.5993	29.2357	83.3043	14.1394	38.8513	17.7959	37.2229	256.357	12.046	11.3929	56.8251	152.489	82.4871	191.74	220.668
PWY-5918: superpathay of heme biosynthesis from glutamate	0	21.5461	44.0359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5918: superpathway of heme b biosynthesis from glutamate	13.4173	0	0	7.34447	44.1085	4.32286	23.6224	18.5816	180.739	24.8052	15.8204	4.57942	103.132	56.4192	12.9486	25.5127	138.94	57.0218	44.0867	4.22472	11.3351	8.19137	1.42589	8.8591	0	0	212.196	86.2035	2.57743	0	14.3365	0	2.10064	85.7677	14.6174	9.9899	5.73521	2.96716	192.942	176.078	0	104.237	0	114.674	150.617	282.14	19.3156	21.5909	0	8.6322	0	8.19964	3.84236	131.221	3.10355	1.00332	16.0283	74.5174	22.5904	82.3719	119.817
PWY-5920: superpathway of heme b biosynthesis from glycine	0	0	0	0	5.99599	1.37452	13.331	0	55.428	0	0	2.1516	41.2141	31.5836	7.52698	9.72341	3.5296	33.7207	1.64187	1.40301	2.96744	4.59429	0	0	0	0	144.933	60.9272	1.45482	0	0	0	0	21.6911	2.26427	4.80102	3.06389	0.984107	83.2946	59.8559	0	40.8882	0	27.9634	57.5361	95.5438	9.08232	14.0884	0	0	0	5.15009	2.11075	56.7281	0	0	8.67511	25.6138	14.6036	58.4947	51.8177
PWY-5920: superpathway of heme biosynthesis from glycine	0	3.35371	1.71165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5941: glycogen degradation II (eukaryotic)	0	22.3921	152.661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)	130.171	0	0	40.6913	149.137	38.1213	120.265	76.7284	356.226	82.0663	80.8395	44.8854	270.004	229.775	143.544	157.076	237.57	222.599	129.168	67.2507	51.4762	120.684	114.107	138.764	70.0385	0	327.946	192.202	53.9504	67.616	72.0522	0	13.9396	265.393	0	90.4365	123.964	76.6661	0	434.127	65.0323	308.328	66.8732	259.663	320.793	508.5	71.2119	135.499	0	150.085	68.205	108.071	15.1885	347.217	64.5678	45.4665	80.8043	266.109	182.853	164.142	362.744
PWY-5971: palmitate biosynthesis II (bacteria and plants)	0	82.8557	253.785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis	350.252	345.02	443.45	380.864	297.476	260.327	287.825	243.387	297.509	233.381	242.861	265.511	266.78	297.195	210.08	222.888	197.848	272.389	251.593	268.408	251.95	282.236	373.073	427.791	356.245	408.176	263.113	238.304	292.591	272.08	244.97	375.443	431.688	303.242	279.466	323.004	430.476	461.226	459.591	419.74	347.988	310.889	88.7263	235.609	379.023	401.311	179.058	261.607	374.447	360.164	383.986	392.693	307.97	308.995	420.615	351.628	204.89	264.889	292.797	249.804	415.932
PWY-5989: stearate biosynthesis II (bacteria and plants)	178.711	78.3102	242.752	35.1286	143.831	28.5027	105.804	110.713	299.159	69.8589	62.9111	33.2747	257.943	206.831	130.359	158.895	207.311	201.607	109.535	52.5659	37.5374	125.344	154.931	162.499	162.335	73.8326	273.541	175.943	36.7748	72.9276	57.4237	80.9296	8.89541	261.897	59.9481	63.959	114.26	88.3192	467.384	456.887	99.2987	306.637	60.0578	238.005	380.205	411.2	78.0633	119.097	214.453	118.906	59.8565	159.186	12.2798	316.664	70.4843	73.7818	84.153	229.216	171.988	240.382	363.988
PWY-5994: palmitate biosynthesis (type I fatty acid synthase)	1.03865	0	0	0	0	0	0	0	38.804	2.13997	3.23295	1.54914	0	2.24346	15.5001	0	107.636	0	26.4046	3.87936	0	2.58709	0	0	0	0	56.1018	0	0	0	9.98413	0	0	0	0	2.04374	0	0	0	7.25432	0	0	0	0	5.12326	58.718	0	0	0	1.83136	0	0	0	0.948133	0	0	5.02839	39.8742	12.3218	35.9527	34.1539
PWY-5994: palmitate biosynthesis I (animals and fungi)	0	0	121.122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6113: superpathway of mycolate biosynthesis	0	37.2463	162.148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	471.123	507.402	509.573	384.466	424.518	424.402	385.947	383.604	329.161	388.698	403	309.049	344.723	458.86	326.511	365.538	324.985	382.63	413.381	349.254	376.446	423.822	417.876	434.69	398.302	402.281	334.07	313.909	444.451	387.277	366.54	459.559	451.7	310.968	387.336	408.996	465.449	528.31	351.643	274.067	450.657	310.705	286.058	341.244	241.741	390.214	457.237	361.431	452.49	403.619	456.69	495.188	402.519	321.051	498.11	398.056	389.68	401.35	399.379	264.306	352.642
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	472.462	497.703	506.24	413.539	422.312	439.617	394.158	393.712	330.698	397.241	411.773	592.953	333.236	465.193	341.142	378.232	341.953	402.706	428.017	367.818	381.333	437.471	413.45	433.06	404.957	401.169	357.385	356.045	458.385	386.002	371.687	460.471	457.583	322.178	397.85	406.262	497.356	532.617	358.3	272.545	450.901	317.189	308.598	335.145	241.422	394.179	473.574	366.863	459.887	396.881	475.916	536.457	510.812	306.57	493.133	451.923	412.454	410.294	401.694	286.286	345.833
PWY-6123: inosine-5'-phosphate biosynthesis I	450.501	463.912	487.311	359.338	373.351	334.013	347.857	332.371	222.945	363.981	350.951	373.716	271.842	400.859	298.24	312.52	274.336	246.742	380.177	328.585	326.223	370.162	389.003	408.703	358.712	411.676	264.65	254.345	382.495	346.418	330.897	416.321	470.33	284.25	355.86	421.244	460.799	478.553	354.181	262.323	401.225	286.607	262.078	237.815	250.308	278.164	330.902	318.399	403.82	377.923	375.211	446.911	269.353	257.692	503.793	424.101	390.087	326.811	363.029	210.203	372.052
PWY-6124: inosine-5'-phosphate biosynthesis II	441.691	441.799	469.924	341.498	354.716	320.827	335.598	325.952	211.221	352.773	335.675	342.747	266.348	386.652	286.114	303.432	177.809	225.413	362.809	323.955	314.968	355.844	373.556	396.572	346.525	403.045	221.959	239.991	365.45	336.621	316.935	402.335	457.766	282.645	348.059	409.711	447.023	465.314	352.616	261.214	384.632	282.424	247.102	224.081	241.363	216.699	310.533	310.808	386.214	361.94	349.243	420.012	243.996	250.6	491.21	423.377	370.953	310.895	349.864	192.891	371.768
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	215.454	199.735	339.075	134.223	100.135	140.916	163.52	143.484	155.495	147.398	187.543	111.37	114.344	280.431	117.654	145.089	187.972	277.362	202.493	124.346	160.012	206.872	327.654	341.344	185.638	333.902	234.664	137.738	203.166	176.129	150.665	244.729	239.409	248.234	113.636	230.176	279.602	259.666	366.671	245.591	171.425	180.707	33.4932	78.3372	221.299	220.958	130.625	126.987	279.785	265.737	150.249	349.824	129.897	193.628	250.187	269.614	117.791	165.632	207.375	216.487	245.526
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	275.281	444.412	357.625	182.703	139.516	189.785	212.92	191.102	185.114	192.114	243.631	150.974	152.114	346.74	157.339	193.499	225.216	328.857	258.772	166.693	209.802	265.078	371.017	395.304	240.911	365.863	260.989	182.39	262.704	225.385	200.064	313.675	298.499	280.28	155.549	278.741	344.185	324.964	390.792	274.957	228.428	219.093	47.753	108.885	263.299	223.319	177.084	168.647	341.273	317.558	201.274	421.464	175.03	233.85	311.813	333.765	159.719	212.676	268.977	242.085	295.416
PWY-6143: CMP-pseudaminate biosynthesis	19.5325	7.48973	0	5.39229	2.00179	3.81388	0	0	0	0	2.51112	2.20402	9.69658	9.42931	6.03657	1.38505	0	7.25302	15.4951	7.25869	0.801999	2.45806	0	2.46344	31.5662	2.2377	0	0	0	0	0	15.8605	75.2452	2.48715	34.3856	28.9576	0	11.8044	18.3308	0.477627	2.34897	0	0	0	0	0	0	7.47122	0	0	0	0	2.39055	0	0	13.6698	0	0.563678	0	1.79632	0
PWY-6145: superpathway of CMP-sialic acids biosynthesis	0	0	0	0.53713	0.42894	0	7.98998	3.71049	6.08879	1.64942	0	2.39957	17.0612	15.9414	1.68956	4.34193	0.396408	3.30854	2.12145	3.35039	0	1.84587	1.78337	3.98821	0	3.89557	0.431377	7.71362	5.51304	2.76247	4.82598	0	0	6.89929	3.0376	0.919634	8.37316	0	0.781304	6.08736	0	10.9541	0	0	0	16.2677	5.29667	0	0	0	0	0	0	17.8442	0	0	0	2.55156	0	0.982951	0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	146.23	281.788	340.25	187.944	122.143	148.016	220.413	110.312	148.192	128.303	158.253	466.38	152.531	191.71	142.395	132.58	119.318	150.551	192.673	122.853	212.08	242.495	294.432	331.195	233.716	380.21	181.627	172.654	271.799	196.298	153.062	238.337	320.154	144.984	219.654	292.498	207.055	280.047	306.888	273.314	236.044	202.221	113.217	115.52	247.174	146.137	83.2672	119.8	237.625	242.903	146.953	288.488	267.22	169.661	353.573	216.734	140.385	155.033	199.578	148.756	231.777
PWY-6148: tetrahydromethanopterin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.955806	0	0	0	0	0	0	0	0	0	0	1.1758	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I	0	374.878	286.599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine salvage I	320.854	0	0	363.923	381.424	420.108	337.931	322.958	230.44	366.888	399.806	434.623	306.751	447.538	352.844	293.855	232.643	404.707	348.73	289.294	325.289	376.458	316.402	381.5	391.406	240.964	299.167	305.323	368.137	292.952	339.14	420.146	459.292	183.877	398.077	289.919	395.137	488.003	292.253	175.97	427.787	233.028	359.995	229.172	188.078	273.9	389.122	294.758	411.855	349.704	489.856	443.305	474.737	253.48	421.369	348.75	376.481	414.442	328.136	180.285	271.193
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	528.319	522.787	473.441	386.003	475.021	428.759	419.166	412.309	291.157	429.271	446.088	320.957	324.289	483.623	387.51	380.223	262.182	434.312	440.973	375.585	380.667	460.745	415.722	432.829	386.164	367.353	284.091	323.98	458.939	407.981	411.067	516.388	443.183	294.675	413.343	420.938	508.273	526.09	319.129	323.385	484.831	285.466	307.198	356.891	342.215	319.713	486.817	380.245	482.301	465.044	515.029	515.476	459.84	306.301	506.38	410.297	466.626	441.457	435.148	267.346	352.032
PWY-6167: flavin biosynthesis II (archaea)	1.70791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0404	0	0	0	4.05776	7.03043	0	0	0	0	0	0	0	0	0	3.35739	0	0	0	0	0	13.0017	0	0	0	0	0	0	0	0	0	0	24.9293	0	0	2.31161	0	0	0	0	0	19.3176	0	0	5.91683	0
PWY-6168: flavin biosynthesis III (fungi)	288.61	365.843	294.598	266.372	338.813	337.542	294.768	287.386	216.554	249.37	310.28	243.762	225.794	329.006	267.656	236.203	197.163	262.505	327.896	232.805	218.803	308.093	324.151	312.204	267.868	223.842	206.359	214.461	358.75	267.492	266.727	354.153	329.221	221.153	273.712	292.385	321.608	363.938	380.242	213.582	286.547	218.346	153.419	194.683	204.86	206.687	309.199	246.059	330.084	279.755	274.869	332.572	296.678	235.796	335.165	325.18	286.397	257.622	325.874	139.068	201.182
PWY-6174: mevalonate pathway II (haloarchaea)	1.25983	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36305	1.95557	0	0	0	0	2.74467	0	0	0	0	0	0	0	0	0	4.22718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25949	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6182: superpathway of salicylate degradation	0	0	0.412714	0	0	0	0	0	4.98458	0	0	0	0	0	0	9.34872	0	0	0	0	0	0	0	0	0	0	1.94263	0	0	0	0	0	0	0	0	0	0	0	2.17272	110.768	0	0	0	5.28876	169.546	46.4018	0	0	0	3.47627	0	0	0	0	0	0	1.30813	0	0	49.9557	18.7158
PWY-6185: 4-methylcatechol degradation (ortho cleavage)	0	0	0.367471	0	0	0	0	0	7.36208	0	0	0	0	0	0	10.5119	0	0	0	0	0	0	0	0	0	0	3.6125	0	0.555056	0	0	0	0	0	0	0	0.362299	0	3.37831	133.213	0	0	0	5.34177	217.383	52.3336	0	0.414365	0	4.49123	0	0	0	0	0	0	2.35188	0	0	53.8523	22.7923
PWY-6210: 2-aminophenol degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37655	0	0	1.39443	0	0	0	0	0	3.52671	1.59477	0	0	0	0	0	0	0.294278	0	0	0	0	0	1.4728	0
PWY-6215: 4-chlorobenzoate degradation	0	0	0	0	0	0	0	0	2.73247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.7664	0	0	0	0	0	0	0	0	0	0	0	0	1.88327	0	0	0	0	1.30728	7.89041	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27828	13.3817
PWY-621: sucrose degradation III (sucrose invertase)	0	71.2111	105.567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-622: starch biosynthesis	3.38565	21.116	16.6647	20.1014	7.2527	22.428	48.7058	8.02509	2.55227	0	32.2584	0	60.8944	42.9657	14.3933	0	4.13933	9.05889	36.1636	3.89838	0	21.2423	19.5373	1.38682	0	0	2.49239	0	2.29958	0	8.8976	0	20.7986	2.58973	5.29075	5.77387	14.3021	8.51229	0	9.01299	2.64053	0	61.0013	0	0	0.924129	0	0	33.4625	3.17774	23.5389	9.74112	17.0997	0	11.4583	12.9016	31.1729	6.02375	21.4102	0	4.66415
PWY-6263: superpathway of menaquinol-8 biosynthesis II	82.8727	8.21078	55.6913	28.0881	55.7978	1.84803	28.5685	5.45574	1.9743	29.3515	13.1901	0	5.57724	0	12.7899	10.7397	0.93227	1.07642	34.7858	20.52	27.6917	12.9646	0	5.82667	6.80476	4.63897	2.61218	12.9262	4.17307	38.7902	34.6486	5.29514	0	5.04293	3.02299	10.628	53.8642	3.98385	8.82258	2.03103	8.76269	6.44937	0	1.78873	5.76461	0.148007	21.8002	10.3736	24.1128	17.0625	17.447	0	7.78239	7.03015	3.50541	8.41264	19.9954	1.10562	16.7154	5.36127	0.705326
PWY-6270: isoprene biosynthesis I	200.925	17.8425	33.2687	244.552	319.101	249.353	249.865	222.605	219.692	349.486	326.439	146.387	250.28	336.681	180.349	242.188	203.315	285.702	312.338	223.949	203.46	274.971	291.691	281.533	178.685	373.703	210.913	237.689	237.22	212.346	259.468	314.472	302.757	209.526	212.829	292.139	263.275	234.909	313.912	191.553	264.622	217.921	274.521	259.966	200.938	177.24	338.254	280.463	311.667	311.655	227.588	362.34	241.942	245.395	290.711	233.103	319.578	361.181	311.016	190.031	210.913
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	472.462	497.703	506.24	413.539	422.312	439.617	394.158	393.712	330.698	397.241	411.773	592.953	333.236	465.193	341.142	378.232	341.953	402.706	428.017	367.818	381.333	437.471	413.45	433.06	404.957	401.169	357.385	356.045	458.385	386.002	371.687	460.471	457.583	322.178	397.85	406.262	497.356	532.617	358.3	272.545	450.901	317.189	308.598	335.145	241.422	394.179	473.574	366.863	459.887	396.881	475.916	536.457	510.812	306.57	493.133	451.923	412.454	410.294	401.694	286.286	345.833
PWY-6281: L-selenocysteine biosynthesis II (archaea and eukaryotes)	0	0	0	0	0	0	0	0	0	0.819072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	181.07	78.8889	241.2	35.4195	144.81	28.5066	105.42	110.702	340.092	71.626	62.9188	33.1534	269.008	204.029	130.46	159.987	221.505	222.713	107.573	52.9996	37.7778	127.245	153.837	162.051	162.293	73.6827	303.409	184.914	36.9451	73.144	57.2602	80.8182	8.89654	271.695	60.4312	64.8753	114.166	88.939	475.129	466.528	101.352	324.223	56.5341	263.035	393.072	490.05	79.9368	121.533	209.848	118.562	60.1543	157.821	10.4355	344.961	70.6073	74.0965	83.7021	243.48	174.572	257.275	371.188
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	10.039	10.1005	58.4013	4.99186	23.6942	8.59565	24.9785	5.35328	201.111	14.1788	23.5099	13.0702	105.352	117.957	44.7093	37.1571	155.917	70.649	42.4772	17.8472	19.5812	14.4613	8.58218	12.6088	3.65074	0	219.324	78.4635	11.9216	6.29843	16.7879	0	9.64612	94.7867	0	45.5953	16.8919	6.04925	0	127.245	3.96365	102.801	40.5441	93.0652	57.4193	282.929	8.7002	33.9517	0	55.0561	9.05795	8.50945	11.5541	147.78	5.43359	2.59302	11.433	196.304	39.5861	18.6827	123.181
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	0	11.1361	14.7346	7.49963	33.3338	10.3338	43.203	10.3312	260.961	0	20.0238	21.1804	155.676	147.018	0	62.4342	189.494	110.685	8.91991	29.4836	29.6371	21.9127	0	0	7.28045	0	265.563	114.837	20.0905	0	0	0	10.7057	143.898	0	32.0696	23.9534	0	0	202.115	0	158.635	0	140.458	100.514	365.051	16.2425	56.4368	0	59.0985	4.14206	16.5455	0	211.731	0	0	20.9771	206.484	67.8325	34.9616	187.173
PWY-6305: putrescine biosynthesis IV	0	163.97	172.271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6305: superpathway of putrescine biosynthesis	218.356	0	0	178.354	138.059	133.366	109.476	156.261	375.971	124.306	173.548	64.0376	282.813	189.756	131.156	156.968	181.328	156.684	171.79	137.205	88.1322	159.241	108.669	142.36	211.965	79.1139	371.073	218.915	163.268	95.5594	130.529	66.8632	97.5609	205.632	141.429	96.9663	77.8592	109.749	245.275	196.259	167.658	231.103	76.3168	241.649	198.556	591.847	178.645	108.654	154.995	218.477	143.355	62.2664	101.815	306.888	115.91	136.204	146.577	210.302	178.771	181.553	266.565
PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)	0	0	0.565171	0	0	0	0	0	0	0	0	0	0	0	2.35104	0	0	0	3.11576	0	0	0	0	0	0	0	0	0	0	0	2.3587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.18411
PWY-6309: L-tryptophan degradation XI (mammalian, via kynurenine)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.69458
PWY-6313: serotonin degradation	0	0	0.741023	0	0	0	0	0	0	0	0	0	0	0	2.5354	0	0	0	3.80583	0	0	0	0	0	0	0	0	0	0	0	2.73027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5274
PWY-6317: D-galactose degradation I (Leloir pathway)	326.435	0	0	203.326	279.623	184.405	224.839	294.201	232.948	302.892	288.964	148.812	219.513	365.105	233.644	197.548	225.133	287.863	234.379	234.585	233.408	273.557	165.448	151.159	216.056	57.7558	236.967	202.931	240.736	221.094	226.994	265.543	164.184	158.164	207.811	178.287	193.764	199.652	278.252	130.907	226.113	188.528	174.697	224.723	140.885	237.674	323.001	203.36	234.946	212.16	224.888	85.2831	264.921	218.621	185.235	202.76	339.908	309.919	196.383	163.717	169.455
PWY-6317: galactose degradation I (Leloir pathway)	0	282.577	142.727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)	0	0	4.92861	0	0	0	0	0	3.00826	0	0	0	0	0.342108	0	0	0	0	0	0	0	0	0	0	0	0	2.55504	0	0	0	0	0	0	0	0	0.91985	0	0	0	0	0	0	0	0	13.9823	2.05166	0	0	0	0	0	0	0	0.997639	0	0	0	2.68572	2.13824	0.917135	12.4092
PWY-6349: CDP-archaeol biosynthesis	0.47399	0	0	0	0	1.16694	0	0	0	0	0	0	0	0	0.553414	6.0485	0.604707	0	0	1.12975	3.12963	0	0	0	0	0	0	0	0	0	2.40666	0	0	0	0	0	3.7479	0	0	0	0	0	0	0.925994	0.482964	0	0	9.16684	0	0	0.929366	0	0.718693	0	0	0	5.98421	0	0	1.76198	0
PWY-6350: archaetidylinositol biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.489371	4.29707	0	0	0	0.815206	2.57584	0	0	0	0	0	0	0	0	0	2.11304	0	0	0	0	0	3.33128	0	0	0	0	0	0	0.754843	0	0	0	8.09815	0	0	0.608795	0	0	0	0	0	4.62384	0	0	1.42933	0
PWY-6353: purine nucleotides degradation II (aerobic)	52.948	105.27	107.954	87.6	132.293	91.897	111.828	116.602	337.398	133.639	113.007	58.548	222.953	179.747	62.8884	125.032	248.357	198.631	80.6515	68.7368	72.2384	102.094	77.4907	40.425	61.7168	47.8742	299.608	148.181	53.275	66.5848	63.1482	62.5629	43.7981	222.002	83.9827	103.831	49.6515	82.3814	46.1194	338.481	85.6691	224.248	66.8367	238.222	275.053	416.227	119.94	99.1322	92.5333	62.9905	65.5158	66.2936	75.7443	283.034	45.612	40.9575	89.9853	239.422	152.513	125.816	252.878
PWY-6383: mono-trans, poly-cis decaprenyl phosphate biosynthesis	0.868759	0	2.80892	0	0	0	0	0	0	0.972036	0	0	1.34614	0	0	0	0	0	6.77512	0	0.796734	1.79695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.521401	0.315659	0.513254	0	0	0.376911	0.525739	0	0
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	459.842	548.102	501.291	431.766	476.036	440.162	402.322	393.153	321.541	417.491	449.641	578.174	338.491	472.465	363.443	370.693	292.746	422.848	423.531	364.08	397.561	457.165	412.337	445.113	416.229	418.934	335.025	378.845	489.016	383.255	379.021	500.079	491.148	328.635	401.937	436.827	469.711	513.042	360.981	309.855	465.887	327.859	307.192	352.891	283.067	360.236	435.07	377.539	450.921	444.301	511.295	566.522	516.015	337.173	524.877	414.324	425.426	456.868	400.901	260.584	375.625
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	492.742	559.849	506.946	445.362	488.697	467.048	412.564	394.238	296.662	429.407	470.976	599.886	327.265	478.489	378.106	398.215	269.948	421.224	455.388	381.835	406.366	481.202	415.014	442.951	420.584	398.711	299.709	382.464	514.176	395.844	396.626	514.531	476.02	309.136	430.664	439.96	466.58	516.081	350.02	285.961	477.224	309.788	361.361	330.687	259.563	316.357	456.154	387.887	477.708	447.178	518.59	551.729	526.032	313.189	526.336	414.377	456.091	458.592	427.214	243.845	336.322
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	480.78	557.908	500.364	443.921	482.346	461.669	410.145	400.313	304.304	423.392	462.245	617.203	322.713	472.07	373.982	390.161	286.389	427.523	449.406	376.967	404.193	475.265	414.338	438.535	413.249	399.082	319.54	377.782	507.028	393.189	391.8	507.828	468.651	312.654	424.448	439.001	467.213	515.457	349.513	290.401	474.898	310.008	350.42	344.235	267.523	334.84	451.491	384.368	472.783	440.33	515.64	553.044	534.417	314.207	529.502	422.992	447.468	454.256	417.283	247.34	357.06
PWY-6396: superpathway of 2,3-butanediol biosynthesis	0	0	0	0	0	0	0	0	0.837542	0	0	0	0	0	0	0	0	0	0	1.19799	0	0	0	0	0	0	0	0	0	0	2.66165	0	0	0	0	0	0	0	1.38124	0	0	0	0	0	0	0.756767	0	0.850285	0	0	0	0	0	0	0	0	0	2.11752	0	0	0
PWY-6467: Kdo transfer to lipid IVA III (Chlamydia)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.561814	0	0
